epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,674.019,1.45495,3.82488,1.51442,0.69003,0.21822,0.19599,0.11988,1.5194,2.58489,1.64152,0.00999154,0.00333051,0.00999154,0.00333051,0.00999154,0.00333051,0.00999154,0.00333051
2,1307.77,1.45865,2.32593,1.54942,0.47382,0.30174,0.25433,0.14731,1.53237,2.24989,1.70512,0.0199517,0.00665057,0.0199517,0.00665057,0.0199517,0.00665057,0.0199517,0.00665057
3,1910.61,1.46379,2.15357,1.566,0.53837,0.27356,0.23409,0.13569,1.52383,2.26185,1.74145,0.029753,0.00991765,0.029753,0.00991765,0.029753,0.00991765,0.029753,0.00991765
4,2619.72,1.42663,1.97979,1.54472,0.51278,0.33062,0.30086,0.18015,1.45103,2.02396,1.65268,0.0294648,0.00982162,0.0294648,0.00982162,0.0294648,0.00982162,0.0294648,0.00982162
5,3309.08,1.36292,1.74613,1.49187,0.56633,0.33003,0.3111,0.18862,1.44266,1.92961,1.67652,0.0290531,0.00968436,0.0290531,0.00968436,0.0290531,0.00968436,0.0290531,0.00968436
6,4121.62,1.31973,1.57056,1.46127,0.4722,0.41047,0.37732,0.23026,1.40284,1.81669,1.60667,0.0285294,0.0095098,0.0285294,0.0095098,0.0285294,0.0095098,0.0285294,0.0095098
7,4772.79,1.28947,1.45028,1.44165,0.5008,0.43087,0.39034,0.23769,1.37002,1.76917,1.57869,0.027898,0.00929932,0.027898,0.00929932,0.027898,0.00929932,0.027898,0.00929932
8,5300.02,1.26929,1.36044,1.4278,0.49847,0.46007,0.42306,0.25359,1.35712,1.74606,1.56506,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
9,5865.01,1.24582,1.29143,1.41023,0.56093,0.46305,0.46057,0.27912,1.33367,1.61463,1.55661,0.0263331,0.0087777,0.0263331,0.0087777,0.0263331,0.0087777,0.0263331,0.0087777
10,6455.39,1.22154,1.21847,1.39015,0.49573,0.4725,0.44496,0.27466,1.3362,1.7125,1.55845,0.0254123,0.00847076,0.0254123,0.00847076,0.0254123,0.00847076,0.0254123,0.00847076
11,6942.84,1.20376,1.1673,1.37503,0.52006,0.51148,0.47987,0.29742,1.30542,1.62508,1.53305,0.0244088,0.00813627,0.0244088,0.00813627,0.0244088,0.00813627,0.0244088,0.00813627
12,7506.72,1.19607,1.13839,1.37402,0.54034,0.50107,0.49215,0.30089,1.29773,1.56267,1.51689,0.0233308,0.00777694,0.0233308,0.00777694,0.0233308,0.00777694,0.0233308,0.00777694
13,8089.81,1.17939,1.10041,1.36452,0.61229,0.48975,0.51289,0.31998,1.27914,1.55273,1.50068,0.0221869,0.00739565,0.0221869,0.00739565,0.0221869,0.00739565,0.0221869,0.00739565
14,8664.67,1.15899,1.04716,1.34717,0.60314,0.48836,0.51267,0.31943,1.27295,1.59076,1.50677,0.0209864,0.00699547,0.0209864,0.00699547,0.0209864,0.00699547,0.0209864,0.00699547
15,9192.43,1.14766,1.01017,1.33946,0.6008,0.51411,0.53619,0.33976,1.26007,1.51973,1.48068,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
16,9761.12,1.12979,0.97567,1.32694,0.60062,0.52341,0.54386,0.33778,1.24424,1.52726,1.48409,0.0184544,0.00615148,0.0184544,0.00615148,0.0184544,0.00615148,0.0184544,0.00615148
17,10260.3,1.1198,0.94896,1.32274,0.62264,0.51789,0.54892,0.35237,1.23447,1.49376,1.48027,0.0171434,0.00571445,0.0171434,0.00571445,0.0171434,0.00571445,0.0171434,0.00571445
18,10829.3,1.10725,0.92365,1.31326,0.65984,0.50358,0.55657,0.35605,1.22659,1.49783,1.46288,0.0158162,0.00527208,0.0158162,0.00527208,0.0158162,0.00527208,0.0158162,0.00527208
19,11440,1.08646,0.8884,1.30079,0.63244,0.53706,0.56665,0.36172,1.21115,1.45283,1.45424,0.0144838,0.00482792,0.0144838,0.00482792,0.0144838,0.00482792,0.0144838,0.00482792
20,12047.4,1.06737,0.85536,1.28755,0.669,0.52949,0.5777,0.37182,1.20279,1.44376,1.44796,0.0131566,0.00438555,0.0131566,0.00438555,0.0131566,0.00438555,0.0131566,0.00438555
21,12616.2,1.05549,0.83768,1.27809,0.62011,0.5546,0.56773,0.37018,1.19957,1.49464,1.44162,0.0118456,0.00394852,0.0118456,0.00394852,0.0118456,0.00394852,0.0118456,0.00394852
22,13129.5,1.04573,0.82106,1.27479,0.6662,0.5531,0.59645,0.38477,1.19179,1.43412,1.43906,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
23,13611.5,1.02585,0.79333,1.26042,0.6519,0.5689,0.59648,0.38983,1.18167,1.40077,1.43222,0.00931358,0.00310453,0.00931358,0.00310453,0.00931358,0.00310453,0.00931358,0.00310453
24,14097,1.01937,0.77693,1.25866,0.64486,0.56937,0.6042,0.39587,1.17528,1.38697,1.43225,0.00811305,0.00270435,0.00811305,0.00270435,0.00811305,0.00270435,0.00811305,0.00270435
25,14566.3,1.00253,0.75284,1.24534,0.65831,0.57941,0.60454,0.39883,1.17113,1.38361,1.42811,0.00696918,0.00232306,0.00696918,0.00232306,0.00696918,0.00232306,0.00696918,0.00232306
